epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9682,2.87376,4.16128,3.95728,0.00263,0.77281,0.01321,0.00376,2.19911,3.63201,3.31248,0.000552215,0.000552215,0.000552215
2,132.179,2.5699,3.40691,3.15283,0.18378,0.28792,0.13925,0.04764,2.06816,4.12323,2.81132,0.00107132,0.00107132,0.00107132
3,194.861,2.17405,2.73889,2.71417,0.25385,0.41935,0.2746,0.11034,1.96955,2.35599,2.68235,0.00155375,0.00155375,0.00155375
4,253.966,1.95594,2.38493,2.4714,0.41132,0.49013,0.41547,0.17786,1.87622,1.98453,2.40079,0.00150197,0.00150197,0.00150197
5,314.76,1.83358,2.16958,2.33417,0.54219,0.48167,0.51857,0.2631,1.59936,1.83798,2.20766,0.00144696,0.00144696,0.00144696
6,374.755,1.71151,1.94793,2.21952,0.56449,0.53176,0.56751,0.30697,1.58015,1.83021,2.14465,0.00139195,0.00139195,0.00139195
7,438.087,1.633,1.81889,2.11923,0.7688,0.70185,0.79943,0.48275,1.40127,1.38013,1.93505,0.00133693,0.00133693,0.00133693
8,497.549,1.55275,1.67369,2.05317,0.75145,0.73023,0.80564,0.50887,1.3343,1.32773,1.89033,0.00128192,0.00128192,0.00128192
9,556.24,1.49615,1.59934,1.99572,0.80676,0.76432,0.84521,0.5408,1.31385,1.16584,1.84658,0.00122691,0.00122691,0.00122691
10,614.228,1.45305,1.52722,1.9424,0.81102,0.80013,0.87893,0.56093,1.27761,1.06727,1.77359,0.0011719,0.0011719,0.0011719
11,678.813,1.42326,1.47214,1.90882,0.7575,0.73571,0.84886,0.57464,1.20894,1.14909,1.7164,0.00111689,0.00111689,0.00111689
12,737.51,1.36417,1.37027,1.84901,0.833,0.78563,0.88192,0.58679,1.27975,1.01701,1.81535,0.00106188,0.00106188,0.00106188
13,795.61,1.32818,1.33433,1.82589,0.85078,0.83142,0.89709,0.60633,1.19814,0.91217,1.69551,0.00100687,0.00100687,0.00100687
14,854.523,1.28605,1.26717,1.76962,0.82712,0.80361,0.91413,0.62593,1.12887,0.95661,1.61642,0.000951857,0.000951857,0.000951857
15,915.773,1.25951,1.21622,1.74133,0.90748,0.87429,0.94013,0.67477,1.05163,0.79522,1.57168,0.000896846,0.000896846,0.000896846
16,975.038,1.23678,1.18802,1.73833,0.89132,0.88798,0.94149,0.67043,1.07868,0.78498,1.59543,0.000841835,0.000841835,0.000841835
17,1033.89,1.20397,1.16489,1.70842,0.876,0.85731,0.94415,0.68208,1.04104,0.78161,1.53487,0.000786824,0.000786824,0.000786824
18,1093.99,1.16544,1.10463,1.66656,0.90431,0.88725,0.95114,0.69386,1.02004,0.73039,1.53296,0.000731813,0.000731813,0.000731813
19,1152.97,1.15538,1.07637,1.65138,0.93392,0.90273,0.95924,0.70703,1.00462,0.68711,1.4975,0.000676802,0.000676802,0.000676802
20,1212.97,1.13515,1.04889,1.63921,0.9213,0.90858,0.96744,0.72167,0.9727,0.67562,1.44881,0.000621791,0.000621791,0.000621791
21,1272.16,0.96505,0.73515,1.47762,0.93298,0.91291,0.96369,0.71402,0.98223,0.67961,1.47067,0.00056678,0.00056678,0.00056678
22,1329.73,0.92326,0.67756,1.43813,0.89113,0.88445,0.94579,0.72816,0.91625,0.70937,1.42169,0.000511769,0.000511769,0.000511769
23,1386.73,0.92445,0.6738,1.43153,0.9438,0.92069,0.9703,0.74527,0.91577,0.61707,1.41293,0.000456758,0.000456758,0.000456758
24,1447.14,0.88357,0.63908,1.40283,0.94171,0.93206,0.97352,0.74703,0.9095,0.59737,1.41562,0.000401747,0.000401747,0.000401747
25,1503.83,0.86953,0.61025,1.38199,0.96893,0.90702,0.97606,0.75963,0.89073,0.57731,1.40074,0.000346736,0.000346736,0.000346736
26,1560.17,0.85832,0.59118,1.37664,0.93582,0.92854,0.97528,0.76219,0.87995,0.57029,1.40028,0.000291725,0.000291725,0.000291725
27,1617.35,0.82815,0.57593,1.35664,0.94658,0.92923,0.97717,0.77158,0.85531,0.5483,1.37476,0.000236714,0.000236714,0.000236714
28,1677.17,0.80215,0.55813,1.33182,0.95391,0.94399,0.9826,0.777,0.8552,0.54021,1.36288,0.000181703,0.000181703,0.000181703
29,1733.5,0.79676,0.54618,1.32345,0.94864,0.93506,0.97842,0.78125,0.84245,0.53247,1.34898,0.000126692,0.000126692,0.000126692
30,1789.56,0.78508,0.52589,1.31119,0.95311,0.94632,0.98063,0.78381,0.8236,0.52179,1.33574,7.1681e-05,7.1681e-05,7.1681e-05
